name,id
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Active, floating=True, fitToIcon=True",83538:100544
"surfaceType=Media, kind=Ghost, size=Large, state=Active, floating=True, fitToIcon=False",80822:105278
"surfaceType=Media, kind=Ghost, size=Large, state=Active, floating=True, fitToIcon=True",83538:100546
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Active, floating=True, fitToIcon=False",80739:105061
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Active, floating=True, fitToIcon=True",83538:100548
"surfaceType=Media, kind=Ghost, size=Small, state=Active, floating=True, fitToIcon=False",80822:105280
"surfaceType=Media, kind=Ghost, size=Small, state=Active, floating=True, fitToIcon=True",83538:100550
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Disabled, floating=True, fitToIcon=False",80700:105104
"surfaceType=Color Fill, kind=Ghost, size=Large, state=Disabled, floating=True, fitToIcon=True",83538:100552
"surfaceType=Media, kind=Ghost, size=Large, state=Disabled, floating=True, fitToIcon=False",80822:105282
"surfaceType=Media, kind=Ghost, size=Large, state=Disabled, floating=True, fitToIcon=True",83538:100554
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Disabled, floating=True, fitToIcon=False",80739:105063
"surfaceType=Color Fill, kind=Ghost, size=Small, state=Disabled, floating=True, fitToIcon=True",83538:100556
"surfaceType=Media, kind=Ghost, size=Small, state=Disabled, floating=True, fitToIcon=False",80822:105284
"surfaceType=Media, kind=Ghost, size=Small, state=Disabled, floating=True, fitToIcon=True",83538:100558
"surfaceType=Media, kind=Ghost, size=Large, state=Default, floating=False, fitToIcon=False",80700:104926
